====================================================================================================================================
      Date     Time  Temp SpCond   Cond  Resist   TDS    Sal   Press   Depth    pH      pH   Chl   Chl Turbid+ ODOsat    ODO Battery
     y/m/d hh:mm:ss     C  uS/cm  uS/cm  Ohm*cm   g/L    ppt    psir  meters            mV  ug/L   RFU     NTU      %   mg/L   volts
------------------------------------------------------------------------------------------------------------------------------------
2019/12/20 11:49:14 11.82  37254  27878 35.8700 24.22  23.58   2.653   1.836  7.79   -64.0   1.9   0.4     8.7   92.2   8.60    12.8
2019/12/20 11:55:14 11.91  38853  29136 34.3215 25.25  24.70   2.698   1.866  7.80   -64.4   2.1   0.5     8.0   91.8   8.49    12.9
2019/12/20 12:01:14 11.88  38705  29005 34.4769 25.16  24.59   2.745   1.899  7.80   -64.5   1.7   0.4     6.8   92.3   8.55    12.7
2019/12/20 12:07:14 11.95  39580  29711 33.6576 25.73  25.21   2.784   1.925  7.81   -65.0   2.0   0.4     6.1   92.2   8.49    12.9
2019/12/20 12:13:14 11.98  39919  29990 33.3442 25.95  25.45   2.820   1.949  7.80   -64.9   1.6   0.4     6.4   91.7   8.43    12.9
2019/12/20 12:19:14 12.02  40880  30749 32.5214 26.57  26.12   2.856   1.973  7.81   -65.2   1.5   0.3     6.2   92.0   8.41    12.9
2019/12/20 12:25:14 12.15  42652  32186 31.0698 27.72  27.38   2.898   2.000  7.82   -65.6   1.6   0.4     6.8   91.8   8.31    12.9
2019/12/20 12:31:14 12.24  44195  33425 29.9179 28.73  28.48   2.940   2.028  7.82   -66.0   1.1   0.3     8.1   92.2   8.27    12.9
2019/12/20 12:37:14 12.29  44821  33940 29.4634 29.13  28.93   2.971   2.048  7.83   -66.2   1.5   0.3    10.3   92.3   8.24    12.7
2019/12/20 12:43:14 12.17  43037  32487 30.7813 27.97  27.66   3.008   2.075  7.82   -66.0   1.3   0.3     8.2   92.0   8.30    12.8
2019/12/20 12:49:13 12.05  41182  30997 32.2616 26.77  26.34   3.042   2.101  7.82   -65.7   1.4   0.3     5.6   92.2   8.41    12.8
2019/12/20 12:55:14 12.07  41416  31185 32.0671 26.92  26.50   3.080   2.127  7.82   -65.7   1.4   0.3     6.4   92.4   8.42    12.9
2019/12/20 13:01:14 12.06  41407  31175 32.0767 26.91  26.50   3.119   2.154  7.82   -65.7   1.4   0.3     6.6   92.6   8.44    12.9
2019/12/20 13:07:14 12.06  41412  31180 32.0717 26.92  26.50   3.166   2.186  7.82   -65.7   1.7   0.4     7.1   92.6   8.43    12.7
2019/12/20 13:13:14 12.12  42346  31927 31.3217 27.52  27.16   3.206   2.213  7.82   -66.0   2.2   0.5     8.8   92.6   8.39    12.9
2019/12/20 13:19:14 12.14  42691  32209 31.0472 27.75  27.41   3.242   2.238  7.82   -65.9   0.8   0.2     6.8   92.6   8.37    12.8
2019/12/20 13:25:14 12.09  41922  31584 31.6611 27.25  26.86   3.287   2.270  7.82   -66.0   1.4   0.3     6.3   92.6   8.41    12.8
2019/12/20 13:31:14 12.10  42153  31768 31.4781 27.40  27.03   3.328   2.297  7.82   -66.0   1.6   0.4     5.9   92.4   8.38    12.9
2019/12/20 13:37:13 12.19  43479  32845 30.4463 28.26  27.97   3.355   2.314  7.83   -66.1   0.8   0.2     5.4   92.4   8.32    12.8
2019/12/20 13:43:14 12.19  43494  32854 30.4381 28.27  27.98   3.403   2.348  7.83   -66.3   1.3   0.3     7.3   92.0   8.29    12.8
