Gran Titration Data Report - Nielsen Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sample ID,,,,,,,,,,,Name,,,,,Result,,,,,,,,,State,,,,
,519,,,,3.4400,,,,,,,283.8,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,522,,,,3.4600,,,,,,,283.9,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,525,,,,3.4800,,,,,,,284.0,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,528,,,,3.5000,,,,,,,284.1,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,531,,,,3.5200,,,,,,,284.3,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,534,,,,3.5400,,,,,,,284.3,,,0.0200,,,21.5,,,,,,,0.0,,,,,,,
,537,,,,3.5600,,,,,,,284.4,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,540,,,,3.5800,,,,,,,284.6,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,543,,,,3.6000,,,,,,,284.7,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,546,,,,3.6200,,,,,,,284.8,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,550,,,,3.6400,,,,,,,284.9,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,552,,,,3.6600,,,,,,,285.0,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,,,,,"Scope 1/1, Sample 8/15",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 8/15",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,,,,,,Meas. value,,,,,,,Temp.,,,,,dE,,,,,,,,,,,
,[s],,,,,,,,[mV],,,,,,,[°C],,,,,[mV],,,,,,,,,,,
,1,,,,,,,,-42.5,,,,,,,21.0,,,,,,,,,,,,,,,,
,2,,,,,,,,-42.5,,,,,,,21.0,,,,,0.0,,,,,,,,,,,
,3,,,,,,,,-42.5,,,,,,,21.0,,,,,0.0,,,,,,,,,,,
,4,,,,,,,,-42.6,,,,,,,21.0,,,,,-0.1,,,,,,,,,,,
,5,,,,,,,,-42.6,,,,,,,21.0,,,,,0.0,,,,,,,,,,,
,6,,,,,,,,-42.6,,,,,,,21.0,,,,,0.0,,,,,,,,,,,
,7,,,,,,,,-42.6,,,,,,,21.0,,,,,0.0,,,,,,,,,,,
,8,,,,,,,,-42.6,,,,,,,21.0,,,,,0.0,,,,,,,,,,,
,9,,,,,,,,-42.6,,,,,,,21.0,,,,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EP) [1],,,,,,,,,,,"Scope 1/1, Sample 8/15",,,,,,,,,,,,,,,,,,,,,
E - V Curve,,,,,,"Scope 1/1, Sample 8/15",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E [mV],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 8/15",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,V,,,,,,Meas. value,,,dV,,,,Temp.,,,dE,,,,,,,EP,,,,,
,[s],,,[mL],,,,,,[mV],,,[mL],,,,[°C],,,[mV],,,,,,,,,,,,
,0,,,0.0000,,,,,,-42.7,,,,,,,21.0,,,,,,,,,,,,,,,
,1,,,0.0010,,,,,,-42.7,,,0.0010,,,,21.0,,,0.0,,,,,,,,,,,,
,2,,,0.0050,,,,,,-42.7,,,0.0040,,,,21.0,,,0.0,,,,,,,,,,,,
,3,,,0.0110,,,,,,-42.5,,,0.0060,,,,21.0,,,0.2,,,,,,,,,,,,
,4,,,0.0200,,,,,,-42.1,,,0.0090,,,,21.0,,,0.4,,,,,,,,,,,,
,5,,,0.0340,,,,,,-41.1,,,0.0140,,,,21.0,,,1.0,,,,,,,,,,,,
,6,,,0.0555,,,,,,-39.2,,,0.0215,,,,21.0,,,1.9,,,,,,,,,,,,
,7,,,0.0800,,,,,,-36.6,,,0.0245,,,,21.0,,,2.6,,,,,,,,,,,,
,8,,,0.1145,,,,,,-32.8,,,0.0345,,,,21.0,,,3.8,,,,,,,,,,,,
,9,,,0.1570,,,,,,-27.8,,,0.0425,,,,21.0,,,5.0,,,,,,,,,,,,
,10,,,0.2095,,,,,,-21.7,,,0.0525,,,,21.0,,,6.1,,,,,,,,,,,,
,11,,,0.2720,,,,,,-15.8,,,0.0625,,,,21.0,,,5.9,,,,,,,,,,,,
,12,,,0.3475,,,,,,-10.3,,,0.0755,,,,21.0,,,5.5,,,,,,,,,,,,
,13,,,0.4260,,,,,,-3.9,,,0.0785,,,,21.0,,,6.4,,,,,,,,,,,,
,14,,,0.5255,,,,,,2.9,,,0.0995,,,,21.0,,,6.8,,,,,,,,,,,,
,15,,,0.6385,,,,,,11.9,,,0.1130,,,,21.0,,,9.0,,,,,,,,,,,,
,16,,,0.7650,,,,,,23.9,,,0.1265,,,,21.0,,,12.0,,,,,,,,,,,,
,17,,,0.9030,,,,,,42.2,,,0.1380,,,,21.0,,,18.3,,,,,,,,,,,,
,18,,,1.0535,,,,,,66.5,,,0.1505,,,,21.1,,,24.3,,,,,,,,,,,,
,19,,,1.1995,,,,,,100.1,,,0.1460,,,,21.1,,,33.6,,,,,,,,,,,,
,20,,,1.3655,,,,,,156.1,,,0.1660,,,,21.1,,,56.0,,,,,,,,,,,,
,21,,,1.3725,,,,,,199.2,,,0.0070,,,,21.1,,,43.1,,,,,,,,,,,,
,22,,,1.3725,,,,,,210.3,,,0.0000,,,,21.1,,,11.1,,,,,,,,,,,,
,23,,,1.3735,,,,,,212.3,,,0.0010,,,,21.1,,,2.0,,,,,,,,,,,,
,24,,,1.3760,,,,,,212.9,,,0.0025,,,,21.1,,,0.6,,,,,,,,,,,,
,25,,,1.3800,,,,,,213.4,,,0.0040,,,,21.1,,,0.5,,,,,,,,,,,,
,26,,,1.3860,,,,,,214.0,,,0.0060,,,,21.1,,,0.6,,,,,,,,,,,,
,27,,,1.3950,,,,,,214.7,,,0.0090,,,,21.1,,,0.7,,,,,,,,,,,,
,28,,,1.4065,,,,,,215.8,,,0.0115,,,,21.1,,,1.1,,,,,,,,,,,,
,29,,,1.4215,,,,,,216.9,,,0.0150,,,,21.1,,,1.1,,,,,,,,,,,,
,30,,,1.4380,,,,,,218.4,,,0.0165,,,,21.1,,,1.5,,,,,,,,,,,,
,31,,,1.4540,,,,,,219.6,,,0.0160,,,,21.1,,,1.2,,,,,,,,,,,,
,32,,,1.4710,,,,,,221.1,,,0.0170,,,,21.1,,,1.5,,,,,,,,,,,,
,33,,,1.4855,,,,,,222.4,,,0.0145,,,,21.1,,,1.3,,,,,,,,,,,,
,34,,,1.4970,,,,,,223.4,,,0.0115,,,,21.1,,,1.0,,,,,,,,,,,,
,35,,,1.5075,,,,,,224.3,,,0.0105,,,,21.1,,,0.9,,,,,,,,,,,,
,36,,,1.5185,,,,,,225.1,,,0.0110,,,,21.1,,,0.8,,,,,,,,,,,,
,37,,,1.5285,,,,,,225.8,,,0.0100,,,,21.1,,,0.7,,,,,,,,,,,,
,38,,,1.5385,,,,,,226.5,,,0.0100,,,,21.1,,,0.7,,,,,,,,,,,,
,39,,,1.5465,,,,,,227.1,,,0.0080,,,,21.1,,,0.6,,,,,,,,,,,,
,40,,,1.5545,,,,,,227.6,,,0.0080,,,,21.1,,,0.5,,,,,,,,,,,,
,41,,,1.5620,,,,,,228.1,,,0.0075,,,,21.1,,,0.5,,,,,,,,,,,,
,42,,,1.5690,,,,,,228.5,,,0.0070,,,,21.1,,,0.4,,,,,,,,,,,,
,43,,,1.5750,,,,,,228.9,,,0.0060,,,,21.1,,,0.4,,,,,,,,,,,,
,44,,,1.5825,,,,,,229.2,,,0.0075,,,,21.1,,,0.3,,,,,,,,,,,,
,45,,,1.5895,,,,,,229.5,,,0.0070,,,,21.1,,,0.3,,,,,,,,,,,,
,46,,,1.5935,,,,,,229.8,,,0.0040,,,,21.1,,,0.3,,,,,,,,,,,,
,47,,,1.5960,,,,,,230.1,,,0.0025,,,,21.1,,,0.3,,,,,,,,,,,,
,48,,,1.5985,,,,,,230.3,,,0.0025,,,,21.1,,,0.2,,,,,,,,,,,,
,49,,,1.6015,,,,,,230.6,,,0.0030,,,,21.1,,,0.3,,,,,,,,,,,,
,50,,,1.6040,,,,,,230.7,,,0.0025,,,,21.1,,,0.1,,,,,,,,,,,,
,51,,,1.6065,,,,,,230.9,,,0.0025,,,,21.1,,,0.2,,,,,,,,,,,,
,52,,,1.6085,,,,,,231.0,,,0.0020,,,,21.1,,,0.1,,,,,,,,,,,,
,53,,,1.6110,,,,,,231.1,,,0.0025,,,,21.1,,,0.1,,,,,,,,,,,,
,54,,,1.6130,,,,,,231.3,,,0.0020,,,,21.1,,,0.2,,,,,,,,,,,,
,55,,,1.6150,,,,,,231.4,,,0.0020,,,,21.1,,,0.1,,,,,,,,,,,,
,56,,,1.6180,,,,,,231.5,,,0.0030,,,,21.1,,,0.1,,,,,,,,,,,,
,57,,,1.6205,,,,,,231.6,,,0.0025,,,,21.1,,,0.1,,,,,,,,,,,,
,58,,,1.6225,,,,,,231.8,,,0.0020,,,,21.1,,,0.2,,,,,,,,,,,,
,59,,,1.6240,,,,,,231.9,,,0.0015,,,,21.1,,,0.1,,,,,,,,,,,,
,,,,1.624750,,,,,,232.0,,,,,,,,,,,,,,,,,EP,,,,,
,60,,,1.6255,,,,,,232.1,,,0.0015,,,,21.1,,,0.2,,,,,,,,,,,,
,61,,,1.6255,,,,,,232.2,,,0.0000,,,,21.1,,,0.1,,,,,,,,,,,,
,62,,,1.6255,,,,,,232.2,,,0.0000,,,,21.1,,,0.0,,,,,,,,,,,,
,63,,,1.6255,,,,,,232.2,,,0.0000,,,,21.1,,,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EQP) [2],,,,,,,,,,,"Scope 1/1, Sample 8/15",,,,,,,,,,,,,,,,,,,,,
E - V Curve,,,,,,"Scope 1/1, Sample 8/15",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E [mV],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 8/15",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,,V,,,,,,,Meas. value,,,dV,,,Temp.,,,,,,,dE,,,,,,,
,[s],,,,[mL],,,,,,,[mV],,,[mL],,,[°C],,,,,,,[mV],,,,,,,
,0,,,,0.0000,,,,,,,232.7,,,,,,21.4,,,,,,,,,,,,,,
,3,,,,0.0200,,,,,,,233.5,,,0.0200,,,21.4,,,,,,,0.8,,,,,,,
,6,,,,0.0400,,,,,,,234.5,,,0.0200,,,21.4,,,,,,,1.0,,,,,,,
,9,,,,0.0600,,,,,,,235.4,,,0.0200,,,21.4,,,,,,,0.9,,,,,,,
,12,,,,0.0800,,,,,,,236.3,,,0.0200,,,21.4,,,,,,,0.9,,,,,,,
,15,,,,0.1000,,,,,,,237.1,,,0.0200,,,21.4,,,,,,,0.8,,,,,,,
,18,,,,0.1200,,,,,,,238.0,,,0.0200,,,21.4,,,,,,,0.9,,,,,,,
,21,,,,0.1400,,,,,,,238.8,,,0.0200,,,21.4,,,,,,,0.8,,,,,,,
,24,,,,0.1600,,,,,,,239.6,,,0.0200,,,21.4,,,,,,,0.8,,,,,,,
,27,,,,0.1800,,,,,,,240.4,,,0.0200,,,21.4,,,,,,,0.8,,,,,,,
,30,,,,0.2000,,,,,,,241.1,,,0.0200,,,21.4,,,,,,,0.7,,,,,,,
,33,,,,0.2200,,,,,,,241.9,,,0.0200,,,21.4,,,,,,,0.8,,,,,,,
,36,,,,0.2400,,,,,,,242.6,,,0.0200,,,21.4,,,,,,,0.7,,,,,,,
,39,,,,0.2600,,,,,,,243.3,,,0.0200,,,21.4,,,,,,,0.7,,,,,,,
,42,,,,0.2800,,,,,,,244.0,,,0.0200,,,21.4,,,,,,,0.7,,,,,,,
,45,,,,0.3000,,,,,,,244.6,,,0.0200,,,21.4,,,,,,,0.6,,,,,,,
,48,,,,0.3200,,,,,,,245.2,,,0.0200,,,21.4,,,,,,,0.6,,,,,,,
,51,,,,0.3400,,,,,,,245.9,,,0.0200,,,21.4,,,,,,,0.7,,,,,,,
,54,,,,0.3600,,,,,,,246.4,,,0.0200,,,21.4,,,,,,,0.5,,,,,,,
,57,,,,0.3800,,,,,,,246.9,,,0.0200,,,21.4,,,,,,,0.5,,,,,,,
,60,,,,0.4000,,,,,,,247.5,,,0.0200,,,21.4,,,,,,,0.6,,,,,,,
,64,,,,0.4200,,,,,,,248.1,,,0.0200,,,21.4,,,,,,,0.6,,,,,,,
,66,,,,0.4400,,,,,,,248.6,,,0.0200,,,21.4,,,,,,,0.5,,,,,,,
,70,,,,0.4600,,,,,,,249.2,,,0.0200,,,21.4,,,,,,,0.6,,,,,,,
,72,,,,0.4800,,,,,,,249.7,,,0.0200,,,21.4,,,,,,,0.5,,,,,,,
,76,,,,0.5000,,,,,,,250.2,,,0.0200,,,21.4,,,,,,,0.5,,,,,,,
,78,,,,0.5200,,,,,,,250.7,,,0.0200,,,21.4,,,,,,,0.5,,,,,,,
,82,,,,0.5400,,,,,,,251.2,,,0.0200,,,21.4,,,,,,,0.5,,,,,,,
,85,,,,0.5600,,,,,,,251.7,,,0.0200,,,21.4,,,,,,,0.5,,,,,,,
,88,,,,0.5800,,,,,,,252.1,,,0.0200,,,21.4,,,,,,,0.4,,,,,,,
,91,,,,0.6000,,,,,,,252.6,,,0.0200,,,21.4,,,,,,,0.5,,,,,,,
,94,,,,0.6200,,,,,,,253.1,,,0.0200,,,21.4,,,,,,,0.5,,,,,,,
,97,,,,0.6400,,,,,,,253.5,,,0.0200,,,21.4,,,,,,,0.4,,,,,,,
,100,,,,0.6600,,,,,,,253.9,,,0.0200,,,21.4,,,,,,,0.4,,,,,,,
,103,,,,0.6800,,,,,,,254.4,,,0.0200,,,21.4,,,,,,,0.5,,,,,,,
,106,,,,0.7000,,,,,,,254.8,,,0.0200,,,21.4,,,,,,,0.4,,,,,,,
,109,,,,0.7200,,,,,,,255.3,,,0.0200,,,21.4,,,,,,,0.5,,,,,,,
,112,,,,0.7400,,,,,,,255.7,,,0.0200,,,21.4,,,,,,,0.4,,,,,,,
,115,,,,0.7600,,,,,,,256.1,,,0.0200,,,21.4,,,,,,,0.4,,,,,,,
,118,,,,0.7800,,,,,,,256.4,,,0.0200,,,21.4,,,,,,,0.3,,,,,,,
,121,,,,0.8000,,,,,,,256.8,,,0.0200,,,21.4,,,,,,,0.4,,,,,,,
,124,,,,0.8200,,,,,,,257.2,,,0.0200,,,21.4,,,,,,,0.4,,,,,,,
,127,,,,0.8400,,,,,,,257.6,,,0.0200,,,21.4,,,,,,,0.4,,,,,,,
,130,,,,0.8600,,,,,,,257.9,,,0.0200,,,21.4,,,,,,,0.3,,,,,,,
,133,,,,0.8800,,,,,,,258.3,,,0.0200,,,21.4,,,,,,,0.4,,,,,,,
,136,,,,0.9000,,,,,,,258.6,,,0.0200,,,21.4,,,,,,,0.3,,,,,,,
,139,,,,0.9200,,,,,,,259.0,,,0.0200,,,21.4,,,,,,,0.4,,,,,,,
,142,,,,0.9400,,,,,,,259.4,,,0.0200,,,21.4,,,,,,,0.4,,,,,,,
,145,,,,0.9600,,,,,,,259.7,,,0.0200,,,21.4,,,,,,,0.3,,,,,,,
,148,,,,0.9800,,,,,,,260.0,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,151,,,,1.0000,,,,,,,260.3,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,154,,,,1.0200,,,,,,,260.7,,,0.0200,,,21.5,,,,,,,0.4,,,,,,,
,157,,,,1.0400,,,,,,,260.9,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,160,,,,1.0600,,,,,,,261.3,,,0.0200,,,21.5,,,,,,,0.4,,,,,,,
,163,,,,1.0800,,,,,,,261.6,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,166,,,,1.1000,,,,,,,261.9,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,169,,,,1.1200,,,,,,,262.2,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,172,,,,1.1400,,,,,,,262.6,,,0.0200,,,21.5,,,,,,,0.4,,,,,,,
,175,,,,1.1600,,,,,,,262.8,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,178,,,,1.1800,,,,,,,263.1,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,181,,,,1.2000,,,,,,,263.4,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,184,,,,1.2200,,,,,,,263.7,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,187,,,,1.2400,,,,,,,264.0,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,190,,,,1.2600,,,,,,,264.3,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,193,,,,1.2800,,,,,,,264.5,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,196,,,,1.3000,,,,,,,264.8,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,199,,,,1.3200,,,,,,,265.2,,,0.0200,,,21.5,,,,,,,0.4,,,,,,,
,202,,,,1.3400,,,,,,,265.4,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,205,,,,1.3600,,,,,,,265.6,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,208,,,,1.3800,,,,,,,265.8,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,211,,,,1.4000,,,,,,,266.1,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,214,,,,1.4200,,,,,,,266.4,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,217,,,,1.4400,,,,,,,266.7,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,220,,,,1.4600,,,,,,,266.9,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,223,,,,1.4800,,,,,,,267.2,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,226,,,,1.5000,,,,,,,267.5,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,230,,,,1.5200,,,,,,,267.7,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,232,,,,1.5400,,,,,,,268.0,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,236,,,,1.5600,,,,,,,268.2,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,238,,,,1.5800,,,,,,,268.4,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,242,,,,1.6000,,,,,,,268.7,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,245,,,,1.6200,,,,,,,268.9,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,248,,,,1.6400,,,,,,,269.2,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,251,,,,1.6600,,,,,,,269.4,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,254,,,,1.6800,,,,,,,269.6,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,257,,,,1.7000,,,,,,,269.8,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,260,,,,1.7200,,,,,,,270.0,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,263,,,,1.7400,,,,,,,270.3,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,266,,,,1.7600,,,,,,,270.4,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,269,,,,1.7800,,,,,,,270.6,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,272,,,,1.8000,,,,,,,270.8,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,275,,,,1.8200,,,,,,,271.0,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,278,,,,1.8400,,,,,,,271.3,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,281,,,,1.8600,,,,,,,271.5,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,284,,,,1.8800,,,,,,,271.8,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,287,,,,1.9000,,,,,,,272.0,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,290,,,,1.9200,,,,,,,272.2,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,293,,,,1.9400,,,,,,,272.4,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,296,,,,1.9600,,,,,,,272.6,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,299,,,,1.9800,,,,,,,272.8,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,302,,,,2.0000,,,,,,,273.0,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,305,,,,2.0200,,,,,,,273.2,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,308,,,,2.0400,,,,,,,273.4,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,311,,,,2.0600,,,,,,,273.6,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,314,,,,2.0800,,,,,,,273.8,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,317,,,,2.1000,,,,,,,273.9,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,320,,,,2.1200,,,,,,,274.1,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,323,,,,2.1400,,,,,,,274.3,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,326,,,,2.1600,,,,,,,274.5,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,329,,,,2.1800,,,,,,,274.6,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,332,,,,2.2000,,,,,,,274.8,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,335,,,,2.2200,,,,,,,274.9,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,338,,,,2.2400,,,,,,,275.0,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,341,,,,2.2600,,,,,,,275.3,,,0.0200,,,21.5,,,,,,,0.3,,,,,,,
,344,,,,2.2800,,,,,,,275.5,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,347,,,,2.3000,,,,,,,275.7,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,350,,,,2.3200,,,,,,,275.9,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,353,,,,2.3400,,,,,,,276.0,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,356,,,,2.3600,,,,,,,276.2,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,359,,,,2.3800,,,,,,,276.3,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,362,,,,2.4000,,,,,,,276.5,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,365,,,,2.4200,,,,,,,276.7,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,368,,,,2.4400,,,,,,,276.8,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,371,,,,2.4600,,,,,,,277.0,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,374,,,,2.4800,,,,,,,277.2,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,377,,,,2.5000,,,,,,,277.4,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,380,,,,2.5200,,,,,,,277.6,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,383,,,,2.5400,,,,,,,277.7,,,0.0200,,,21.5,,,,,,,0.1,,,,,,,
,386,,,,2.5600,,,,,,,277.9,,,0.0200,,,21.5,,,,,,,0.2,,,,,,,
,390,,,,2.5800,,,,,,,278.0,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,392,,,,2.6000,,,,,,,278.2,,,0.0200,,,21.6,,,,,,,0.2,,,,,,,
,396,,,,2.6200,,,,,,,278.3,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,398,,,,2.6400,,,,,,,278.4,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,402,,,,2.6600,,,,,,,278.6,,,0.0200,,,21.6,,,,,,,0.2,,,,,,,
,404,,,,2.6800,,,,,,,278.7,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,408,,,,2.7000,,,,,,,278.9,,,0.0200,,,21.6,,,,,,,0.2,,,,,,,
,411,,,,2.7200,,,,,,,279.1,,,0.0200,,,21.6,,,,,,,0.2,,,,,,,
,414,,,,2.7400,,,,,,,279.2,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,417,,,,2.7600,,,,,,,279.4,,,0.0200,,,21.6,,,,,,,0.2,,,,,,,
,420,,,,2.7800,,,,,,,279.5,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,423,,,,2.8000,,,,,,,279.6,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,426,,,,2.8200,,,,,,,279.8,,,0.0200,,,21.6,,,,,,,0.2,,,,,,,
,429,,,,2.8400,,,,,,,280.0,,,0.0200,,,21.6,,,,,,,0.2,,,,,,,
,432,,,,2.8600,,,,,,,280.1,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,435,,,,2.8800,,,,,,,280.2,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,438,,,,2.9000,,,,,,,280.4,,,0.0200,,,21.6,,,,,,,0.2,,,,,,,
,441,,,,2.9200,,,,,,,280.5,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,444,,,,2.9400,,,,,,,280.7,,,0.0200,,,21.6,,,,,,,0.2,,,,,,,
,447,,,,2.9600,,,,,,,280.8,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,450,,,,2.9800,,,,,,,280.9,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,453,,,,3.0000,,,,,,,281.1,,,0.0200,,,21.6,,,,,,,0.2,,,,,,,
,456,,,,3.0200,,,,,,,281.2,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,459,,,,3.0400,,,,,,,281.3,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,462,,,,3.0600,,,,,,,281.4,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,465,,,,3.0800,,,,,,,281.6,,,0.0200,,,21.6,,,,,,,0.2,,,,,,,
,468,,,,3.1000,,,,,,,281.7,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,471,,,,3.1200,,,,,,,281.8,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,474,,,,3.1400,,,,,,,281.9,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,477,,,,3.1600,,,,,,,282.1,,,0.0200,,,21.6,,,,,,,0.2,,,,,,,
,480,,,,3.1800,,,,,,,282.2,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,483,,,,3.2000,,,,,,,282.3,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,486,,,,3.2200,,,,,,,282.4,,,0.0200,,,21.6,,,,,,,0.1,,,,,,,
,489,,,,3.2400,,,,,,,282.6,,,0.0200,,,21.6,,,,,,,0.2,,,,,,,
