,10,,,0.2045,,,,,,-16.6,,,0.0515,,,,19.5,,,5.7,,,,,,,,,,,,
,11,,,0.2665,,,,,,-10.9,,,0.0620,,,,19.5,,,5.7,,,,,,,,,,,,
,12,,,0.3410,,,,,,-4.6,,,0.0745,,,,19.5,,,6.3,,,,,,,,,,,,
,13,,,0.4175,,,,,,0.5,,,0.0765,,,,19.5,,,5.1,,,,,,,,,,,,
,14,,,0.5165,,,,,,7.9,,,0.0990,,,,19.5,,,7.4,,,,,,,,,,,,
,15,,,0.6280,,,,,,16.6,,,0.1115,,,,19.5,,,8.7,,,,,,,,,,,,
,16,,,0.7535,,,,,,26.9,,,0.1255,,,,19.5,,,10.3,,,,,,,,,,,,
,17,,,0.8905,,,,,,40.4,,,0.1370,,,,19.5,,,13.5,,,,,,,,,,,,
,18,,,1.0395,,,,,,59.9,,,0.1490,,,,19.5,,,19.5,,,,,,,,,,,,
,19,,,1.1840,,,,,,84.8,,,0.1445,,,,19.5,,,24.9,,,,,,,,,,,,
,20,,,1.3575,,,,,,121.0,,,0.1735,,,,19.5,,,36.2,,,,,,,,,,,,
,21,,,1.4860,,,,,,168.2,,,0.1285,,,,19.5,,,47.2,,,,,,,,,,,,
,22,,,1.4860,,,,,,201.9,,,0.0000,,,,19.5,,,33.7,,,,,,,,,,,,
,23,,,1.4860,,,,,,210.6,,,0.0000,,,,19.5,,,8.7,,,,,,,,,,,,
,24,,,1.4870,,,,,,212.6,,,0.0010,,,,19.5,,,2.0,,,,,,,,,,,,
,25,,,1.4900,,,,,,213.2,,,0.0030,,,,19.5,,,0.6,,,,,,,,,,,,
,26,,,1.4940,,,,,,213.8,,,0.0040,,,,19.5,,,0.6,,,,,,,,,,,,
,27,,,1.5000,,,,,,214.4,,,0.0060,,,,19.5,,,0.6,,,,,,,,,,,,
,28,,,1.5095,,,,,,215.3,,,0.0095,,,,19.5,,,0.9,,,,,,,,,,,,
,29,,,1.5220,,,,,,216.4,,,0.0125,,,,19.5,,,1.1,,,,,,,,,,,,
,30,,,1.5375,,,,,,217.5,,,0.0155,,,,19.5,,,1.1,,,,,,,,,,,,
,31,,,1.5535,,,,,,219.1,,,0.0160,,,,19.5,,,1.6,,,,,,,,,,,,
,32,,,1.5720,,,,,,220.6,,,0.0185,,,,19.5,,,1.5,,,,,,,,,,,,
,33,,,1.5920,,,,,,222.2,,,0.0200,,,,19.5,,,1.6,,,,,,,,,,,,
,34,,,1.6110,,,,,,223.8,,,0.0190,,,,19.5,,,1.6,,,,,,,,,,,,
,35,,,1.6235,,,,,,225.0,,,0.0125,,,,19.5,,,1.2,,,,,,,,,,,,
,36,,,1.6355,,,,,,225.9,,,0.0120,,,,19.5,,,0.9,,,,,,,,,,,,
,37,,,1.6465,,,,,,226.7,,,0.0110,,,,19.5,,,0.8,,,,,,,,,,,,
,38,,,1.6595,,,,,,227.7,,,0.0130,,,,19.5,,,1.0,,,,,,,,,,,,
,39,,,1.6720,,,,,,228.6,,,0.0125,,,,19.5,,,0.9,,,,,,,,,,,,
,40,,,1.6805,,,,,,229.3,,,0.0085,,,,19.5,,,0.7,,,,,,,,,,,,
,41,,,1.6875,,,,,,229.8,,,0.0070,,,,19.5,,,0.5,,,,,,,,,,,,
,42,,,1.6960,,,,,,230.3,,,0.0085,,,,19.5,,,0.5,,,,,,,,,,,,
,43,,,1.7050,,,,,,230.8,,,0.0090,,,,19.5,,,0.5,,,,,,,,,,,,
,44,,,1.7140,,,,,,231.5,,,0.0090,,,,19.5,,,0.7,,,,,,,,,,,,
,45,,,1.7170,,,,,,231.8,,,0.0030,,,,19.5,,,0.3,,,,,,,,,,,,
,46,,,1.7195,,,,,,232.0,,,0.0025,,,,19.5,,,0.2,,,,,,,,,,,,
,47,,,1.7235,,,,,,232.2,,,0.0040,,,,19.5,,,0.2,,,,,,,,,,,,
,48,,,1.7280,,,,,,232.4,,,0.0045,,,,19.5,,,0.2,,,,,,,,,,,,
,49,,,1.7340,,,,,,232.8,,,0.0060,,,,19.5,,,0.4,,,,,,,,,,,,
,50,,,1.7385,,,,,,233.1,,,0.0045,,,,19.5,,,0.3,,,,,,,,,,,,
,51,,,1.7415,,,,,,233.3,,,0.0030,,,,19.5,,,0.2,,,,,,,,,,,,
,52,,,1.7440,,,,,,233.4,,,0.0025,,,,19.5,,,0.1,,,,,,,,,,,,
,53,,,1.7465,,,,,,233.7,,,0.0025,,,,19.5,,,0.3,,,,,,,,,,,,
,54,,,1.7490,,,,,,233.8,,,0.0025,,,,19.5,,,0.1,,,,,,,,,,,,
,55,,,1.7525,,,,,,233.9,,,0.0035,,,,19.5,,,0.1,,,,,,,,,,,,
,56,,,1.7550,,,,,,234.0,,,0.0025,,,,19.5,,,0.1,,,,,,,,,,,,
,57,,,1.7575,,,,,,234.2,,,0.0025,,,,19.5,,,0.2,,,,,,,,,,,,
,58,,,1.7595,,,,,,234.3,,,0.0020,,,,19.6,,,0.1,,,,,,,,,,,,
,59,,,1.7625,,,,,,234.4,,,0.0030,,,,19.5,,,0.1,,,,,,,,,,,,
,60,,,1.7655,,,,,,234.6,,,0.0030,,,,19.6,,,0.2,,,,,,,,,,,,
,61,,,1.7685,,,,,,234.8,,,0.0030,,,,19.6,,,0.2,,,,,,,,,,,,
,62,,,1.7710,,,,,,234.9,,,0.0025,,,,19.6,,,0.1,,,,,,,,,,,,
,63,,,1.7730,,,,,,235.0,,,0.0020,,,,19.6,,,0.1,,,,,,,,,,,,
,,,,1.7730,,,,,,235.0,,,,,,,,,,,,,,,,,EP,,,,,
,64,,,1.7740,,,,,,235.1,,,0.0010,,,,19.6,,,0.1,,,,,,,,,,,,
,65,,,1.7745,,,,,,235.2,,,0.0005,,,,19.6,,,0.1,,,,,,,,,,,,
,66,,,1.7745,,,,,,235.2,,,0.0000,,,,19.6,,,0.0,,,,,,,,,,,,
,67,,,1.7745,,,,,,235.2,,,0.0000,,,,19.6,,,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EQP) [2],,,,,,,,,,,"Scope 1/1, Sample 4/13",,,,,,,,,,,,,,,,,,,,,
E - V Curve,,,,,,"Scope 1/1, Sample 4/13",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E [mV],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 4/13",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,,V,,,,,,,Meas. value,,,dV,,,Temp.,,,,,,,dE,,,,,,,
,[s],,,,[mL],,,,,,,[mV],,,[mL],,,[°C],,,,,,,[mV],,,,,,,
,0,,,,0.0000,,,,,,,235.7,,,,,,19.8,,,,,,,,,,,,,,
,3,,,,0.0200,,,,,,,236.5,,,0.0200,,,19.8,,,,,,,0.8,,,,,,,
,6,,,,0.0400,,,,,,,237.4,,,0.0200,,,19.8,,,,,,,0.9,,,,,,,
,9,,,,0.0600,,,,,,,238.3,,,0.0200,,,19.8,,,,,,,0.9,,,,,,,
,12,,,,0.0800,,,,,,,239.2,,,0.0200,,,19.8,,,,,,,0.9,,,,,,,
,15,,,,0.1000,,,,,,,240.1,,,0.0200,,,19.8,,,,,,,0.9,,,,,,,
,18,,,,0.1200,,,,,,,240.9,,,0.0200,,,19.8,,,,,,,0.8,,,,,,,
,21,,,,0.1400,,,,,,,241.7,,,0.0200,,,19.8,,,,,,,0.8,,,,,,,
,24,,,,0.1600,,,,,,,242.4,,,0.0200,,,19.8,,,,,,,0.7,,,,,,,
,27,,,,0.1800,,,,,,,243.1,,,0.0200,,,19.8,,,,,,,0.7,,,,,,,
,30,,,,0.2000,,,,,,,243.8,,,0.0200,,,19.8,,,,,,,0.7,,,,,,,
,33,,,,0.2200,,,,,,,244.5,,,0.0200,,,19.8,,,,,,,0.7,,,,,,,
,36,,,,0.2400,,,,,,,245.2,,,0.0200,,,19.8,,,,,,,0.7,,,,,,,
,39,,,,0.2600,,,,,,,245.8,,,0.0200,,,19.8,,,,,,,0.6,,,,,,,
,42,,,,0.2800,,,,,,,246.5,,,0.0200,,,19.8,,,,,,,0.7,,,,,,,
,45,,,,0.3000,,,,,,,247.2,,,0.0200,,,19.8,,,,,,,0.7,,,,,,,
,48,,,,0.3200,,,,,,,247.8,,,0.0200,,,19.8,,,,,,,0.6,,,,,,,
,51,,,,0.3400,,,,,,,248.4,,,0.0200,,,19.8,,,,,,,0.6,,,,,,,
,54,,,,0.3600,,,,,,,248.9,,,0.0200,,,19.8,,,,,,,0.5,,,,,,,
,57,,,,0.3800,,,,,,,249.4,,,0.0200,,,19.8,,,,,,,0.5,,,,,,,
,60,,,,0.4000,,,,,,,250.0,,,0.0200,,,19.8,,,,,,,0.6,,,,,,,
,64,,,,0.4200,,,,,,,250.6,,,0.0200,,,19.8,,,,,,,0.6,,,,,,,
,66,,,,0.4400,,,,,,,251.1,,,0.0200,,,19.8,,,,,,,0.5,,,,,,,
,70,,,,0.4600,,,,,,,251.6,,,0.0200,,,19.8,,,,,,,0.5,,,,,,,
,72,,,,0.4800,,,,,,,252.1,,,0.0200,,,19.8,,,,,,,0.5,,,,,,,
,76,,,,0.5000,,,,,,,252.6,,,0.0200,,,19.8,,,,,,,0.5,,,,,,,
,78,,,,0.5200,,,,,,,253.1,,,0.0200,,,19.8,,,,,,,0.5,,,,,,,
,82,,,,0.5400,,,,,,,253.6,,,0.0200,,,19.8,,,,,,,0.5,,,,,,,
,84,,,,0.5600,,,,,,,254.1,,,0.0200,,,19.8,,,,,,,0.5,,,,,,,
,88,,,,0.5800,,,,,,,254.6,,,0.0200,,,19.8,,,,,,,0.5,,,,,,,
,91,,,,0.6000,,,,,,,255.0,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,94,,,,0.6200,,,,,,,255.4,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,97,,,,0.6400,,,,,,,255.9,,,0.0200,,,19.8,,,,,,,0.5,,,,,,,
,100,,,,0.6600,,,,,,,256.3,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,103,,,,0.6800,,,,,,,256.7,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,106,,,,0.7000,,,,,,,257.1,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,109,,,,0.7200,,,,,,,257.6,,,0.0200,,,19.8,,,,,,,0.5,,,,,,,
,112,,,,0.7400,,,,,,,258.0,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,115,,,,0.7600,,,,,,,258.3,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,118,,,,0.7800,,,,,,,258.7,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,121,,,,0.8000,,,,,,,259.1,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,124,,,,0.8200,,,,,,,259.5,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,127,,,,0.8400,,,,,,,259.8,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,130,,,,0.8600,,,,,,,260.2,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,133,,,,0.8800,,,,,,,260.6,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,136,,,,0.9000,,,,,,,260.9,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,139,,,,0.9200,,,,,,,261.2,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,142,,,,0.9400,,,,,,,261.6,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,145,,,,0.9600,,,,,,,261.9,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,148,,,,0.9800,,,,,,,262.2,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,151,,,,1.0000,,,,,,,262.6,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,154,,,,1.0200,,,,,,,262.9,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,157,,,,1.0400,,,,,,,263.2,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,160,,,,1.0600,,,,,,,263.6,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,163,,,,1.0800,,,,,,,263.8,,,0.0200,,,19.8,,,,,,,0.2,,,,,,,
,166,,,,1.1000,,,,,,,264.2,,,0.0200,,,19.8,,,,,,,0.4,,,,,,,
,169,,,,1.1200,,,,,,,264.5,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,172,,,,1.1400,,,,,,,264.8,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,175,,,,1.1600,,,,,,,265.1,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,178,,,,1.1800,,,,,,,265.3,,,0.0200,,,19.8,,,,,,,0.2,,,,,,,
,181,,,,1.2000,,,,,,,265.6,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,184,,,,1.2200,,,,,,,265.9,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,187,,,,1.2400,,,,,,,266.2,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,190,,,,1.2600,,,,,,,266.5,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,193,,,,1.2800,,,,,,,266.8,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,196,,,,1.3000,,,,,,,267.1,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,199,,,,1.3200,,,,,,,267.3,,,0.0200,,,19.8,,,,,,,0.2,,,,,,,
,202,,,,1.3400,,,,,,,267.6,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,205,,,,1.3600,,,,,,,267.9,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,208,,,,1.3800,,,,,,,268.1,,,0.0200,,,19.8,,,,,,,0.2,,,,,,,
,211,,,,1.4000,,,,,,,268.3,,,0.0200,,,19.8,,,,,,,0.2,,,,,,,
,214,,,,1.4200,,,,,,,268.6,,,0.0200,,,19.8,,,,,,,0.3,,,,,,,
,217,,,,1.4400,,,,,,,268.8,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,220,,,,1.4600,,,,,,,269.1,,,0.0200,,,19.9,,,,,,,0.3,,,,,,,
,223,,,,1.4800,,,,,,,269.3,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,226,,,,1.5000,,,,,,,269.6,,,0.0200,,,19.9,,,,,,,0.3,,,,,,,
,229,,,,1.5200,,,,,,,269.9,,,0.0200,,,19.9,,,,,,,0.3,,,,,,,
,232,,,,1.5400,,,,,,,270.1,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,235,,,,1.5600,,,,,,,270.3,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,238,,,,1.5800,,,,,,,270.6,,,0.0200,,,19.9,,,,,,,0.3,,,,,,,
,242,,,,1.6000,,,,,,,270.8,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,244,,,,1.6200,,,,,,,271.0,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,248,,,,1.6400,,,,,,,271.2,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,251,,,,1.6600,,,,,,,271.4,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,254,,,,1.6800,,,,,,,271.6,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,257,,,,1.7000,,,,,,,271.9,,,0.0200,,,19.9,,,,,,,0.3,,,,,,,
,260,,,,1.7200,,,,,,,272.1,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,263,,,,1.7400,,,,,,,272.4,,,0.0200,,,19.9,,,,,,,0.3,,,,,,,
,266,,,,1.7600,,,,,,,272.5,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,269,,,,1.7800,,,,,,,272.7,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,272,,,,1.8000,,,,,,,272.9,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,275,,,,1.8200,,,,,,,273.2,,,0.0200,,,19.9,,,,,,,0.3,,,,,,,
,278,,,,1.8400,,,,,,,273.4,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,281,,,,1.8600,,,,,,,273.6,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,284,,,,1.8800,,,,,,,273.8,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,287,,,,1.9000,,,,,,,274.0,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,290,,,,1.9200,,,,,,,274.2,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,293,,,,1.9400,,,,,,,274.4,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,296,,,,1.9600,,,,,,,274.6,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,299,,,,1.9800,,,,,,,274.7,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,302,,,,2.0000,,,,,,,274.9,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,305,,,,2.0200,,,,,,,275.1,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,308,,,,2.0400,,,,,,,275.3,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,311,,,,2.0600,,,,,,,275.5,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,314,,,,2.0800,,,,,,,275.7,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,317,,,,2.1000,,,,,,,275.9,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,320,,,,2.1200,,,,,,,276.1,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,323,,,,2.1400,,,,,,,276.2,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,326,,,,2.1600,,,,,,,276.4,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,329,,,,2.1800,,,,,,,276.6,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,332,,,,2.2000,,,,,,,276.8,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,335,,,,2.2200,,,,,,,276.9,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,338,,,,2.2400,,,,,,,277.1,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,341,,,,2.2600,,,,,,,277.3,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,344,,,,2.2800,,,,,,,277.4,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,347,,,,2.3000,,,,,,,277.6,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,350,,,,2.3200,,,,,,,277.8,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,353,,,,2.3400,,,,,,,278.0,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,356,,,,2.3600,,,,,,,278.2,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,359,,,,2.3800,,,,,,,278.3,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,362,,,,2.4000,,,,,,,278.5,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,365,,,,2.4200,,,,,,,278.6,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,368,,,,2.4400,,,,,,,278.8,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,371,,,,2.4600,,,,,,,278.9,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,374,,,,2.4800,,,,,,,279.1,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,377,,,,2.5000,,,,,,,279.2,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,380,,,,2.5200,,,,,,,279.4,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,383,,,,2.5400,,,,,,,279.6,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,386,,,,2.5600,,,,,,,279.8,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,389,,,,2.5800,,,,,,,279.9,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,392,,,,2.6000,,,,,,,280.0,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,395,,,,2.6200,,,,,,,280.2,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,398,,,,2.6400,,,,,,,280.3,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,401,,,,2.6600,,,,,,,280.5,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,404,,,,2.6800,,,,,,,280.6,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,407,,,,2.7000,,,,,,,280.8,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,410,,,,2.7200,,,,,,,280.9,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,413,,,,2.7400,,,,,,,281.1,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,416,,,,2.7600,,,,,,,281.2,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,420,,,,2.7800,,,,,,,281.3,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,423,,,,2.8000,,,,,,,281.5,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,426,,,,2.8200,,,,,,,281.6,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,429,,,,2.8400,,,,,,,281.8,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,432,,,,2.8600,,,,,,,281.9,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,435,,,,2.8800,,,,,,,282.1,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,438,,,,2.9000,,,,,,,282.2,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,441,,,,2.9200,,,,,,,282.3,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,444,,,,2.9400,,,,,,,282.5,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,447,,,,2.9600,,,,,,,282.6,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,450,,,,2.9800,,,,,,,282.7,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,453,,,,3.0000,,,,,,,282.8,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,456,,,,3.0200,,,,,,,283.0,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,459,,,,3.0400,,,,,,,283.1,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,462,,,,3.0600,,,,,,,283.2,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,465,,,,3.0800,,,,,,,283.4,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,468,,,,3.1000,,,,,,,283.5,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,471,,,,3.1200,,,,,,,283.6,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,474,,,,3.1400,,,,,,,283.8,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,477,,,,3.1600,,,,,,,283.9,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,480,,,,3.1800,,,,,,,284.0,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,483,,,,3.2000,,,,,,,284.2,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,486,,,,3.2200,,,,,,,284.3,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,489,,,,3.2400,,,,,,,284.4,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,492,,,,3.2600,,,,,,,284.5,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,495,,,,3.2800,,,,,,,284.6,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,498,,,,3.3000,,,,,,,284.8,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,501,,,,3.3200,,,,,,,284.9,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,504,,,,3.3400,,,,,,,285.1,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,507,,,,3.3600,,,,,,,285.1,,,0.0200,,,19.9,,,,,,,0.0,,,,,,,
,510,,,,3.3800,,,,,,,285.2,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,513,,,,3.4000,,,,,,,285.4,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,516,,,,3.4200,,,,,,,285.4,,,0.0200,,,19.9,,,,,,,0.0,,,,,,,
,519,,,,3.4400,,,,,,,285.6,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,522,,,,3.4600,,,,,,,285.7,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,525,,,,3.4800,,,,,,,285.8,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,528,,,,3.5000,,,,,,,285.9,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,531,,,,3.5200,,,,,,,286.1,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,534,,,,3.5400,,,,,,,286.2,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,537,,,,3.5600,,,,,,,286.3,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,540,,,,3.5800,,,,,,,286.4,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,543,,,,3.6000,,,,,,,286.5,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,546,,,,3.6200,,,,,,,286.6,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,549,,,,3.6400,,,,,,,286.7,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,552,,,,3.6600,,,,,,,286.8,,,0.0200,,,19.9,,,,,,,0.1,,,,,,,
,555,,,,3.6800,,,,,,,287.0,,,0.0200,,,19.9,,,,,,,0.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,,,,,"Scope 1/1, Sample 5/13",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 5/13",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,,,,,,Meas. value,,,,,,,Temp.,,,,,dE,,,,,,,,,,,
,[s],,,,,,,,[mV],,,,,,,[°C],,,,,[mV],,,,,,,,,,,
,1,,,,,,,,-36.5,,,,,,,19.4,,,,,,,,,,,,,,,,
,2,,,,,,,,-36.5,,,,,,,19.4,,,,,0.0,,,,,,,,,,,
,3,,,,,,,,-36.6,,,,,,,19.4,,,,,-0.1,,,,,,,,,,,
,4,,,,,,,,-36.6,,,,,,,19.4,,,,,0.0,,,,,,,,,,,
,5,,,,,,,,-36.6,,,,,,,19.4,,,,,0.0,,,,,,,,,,,
,6,,,,,,,,-36.6,,,,,,,19.4,,,,,0.0,,,,,,,,,,,
,7,,,,,,,,-36.6,,,,,,,19.4,,,,,0.0,,,,,,,,,,,
,8,,,,,,,,-36.6,,,,,,,19.4,,,,,0.0,,,,,,,,,,,
,9,,,,,,,,-36.6,,,,,,,19.4,,,,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EP) [1],,,,,,,,,,,"Scope 1/1, Sample 5/13",,,,,,,,,,,,,,,,,,,,,
E - V Curve,,,,,,"Scope 1/1, Sample 5/13",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E [mV],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 5/13",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,V,,,,,,Meas. value,,,dV,,,,Temp.,,,dE,,,,,,,EP,,,,,
,[s],,,[mL],,,,,,[mV],,,[mL],,,,[°C],,,[mV],,,,,,,,,,,,
